Time [s], Analyzer Name, Decoded Protocol Result
2.032991916666667,Async Serial,A
2.033251916666666,Async Serial,:
2.033511958333333,Async Serial,0
2.033772000000000,Async Serial,A
2.034032000000000,Async Serial,' '
2.034292041666667,Async Serial,F
2.034552083333333,Async Serial,' '
2.034812125000000,Async Serial,' '
2.035072125000000,Async Serial,0
2.035332166666667,Async Serial,B
2.035592208333334,Async Serial,:
2.035852208333333,Async Serial,F
2.036112250000000,Async Serial,F
2.036372291666666,Async Serial,' '
2.036632333333333,Async Serial,F
2.036892333333333,Async Serial,\r
2.037152375000000,Async Serial,0
2.037412416666667,Async Serial,C
2.037672416666667,Async Serial,:
2.037932458333333,Async Serial,6
2.038192500000000,Async Serial,8
2.038452541666667,Async Serial,' '
2.038712541666666,Async Serial,F
2.038972583333333,Async Serial,' '
2.039232625000000,Async Serial,' '
2.039492625000000,Async Serial,0
2.039752666666667,Async Serial,D
2.040012708333333,Async Serial,:
2.040272750000000,Async Serial,0
2.040532750000000,Async Serial,D
2.040792791666667,Async Serial,' '
2.041052833333334,Async Serial,F
2.041312833333333,Async Serial,' '
2.041572875000000,Async Serial,' '
2.041832916666667,Async Serial,0
2.042092958333333,Async Serial,E
2.042352958333333,Async Serial,:
2.042613000000000,Async Serial,9
2.042873041666667,Async Serial,A
2.043133041666667,Async Serial,' '
2.043393083333333,Async Serial,F
2.043653125000000,Async Serial,' '
2.043913166666667,Async Serial,' '
2.044173166666666,Async Serial,0
2.044433208333333,Async Serial,F
2.044693250000000,Async Serial,:
2.044953250000000,Async Serial,F
2.045213291666667,Async Serial,F
2.045473333333333,Async Serial,' '
2.045733333333333,Async Serial,F
2.045993375000000,Async Serial,\r
2.046383416666667,Async Serial,1
2.046643458333333,Async Serial,0
2.046903500000000,Async Serial,:
2.047163500000000,Async Serial,0
2.047423541666667,Async Serial,D
2.047683583333333,Async Serial,' '
2.047943625000000,Async Serial,F
2.048203625000000,Async Serial,' '
2.048463666666667,Async Serial,' '
2.048723708333333,Async Serial,1
2.048983708333334,Async Serial,1
2.049243750000000,Async Serial,:
2.049503791666667,Async Serial,0
2.049763833333333,Async Serial,0
2.050023833333333,Async Serial,' '
2.050283875000000,Async Serial,F
2.050543916666667,Async Serial,' '
2.050803916666667,Async Serial,' '
2.051063958333333,Async Serial,1
2.051324000000000,Async Serial,2
2.051584041666667,Async Serial,:
2.051844041666667,Async Serial,F
2.052104083333333,Async Serial,F
2.052364125000000,Async Serial,' '
2.052624125000000,Async Serial,F
2.052884166666667,Async Serial,' '
2.053144208333333,Async Serial,' '
2.053404208333333,Async Serial,1
2.053664250000000,Async Serial,3
2.053924291666667,Async Serial,:
2.054184333333333,Async Serial,3
2.054444333333334,Async Serial,2
2.054704375000000,Async Serial,' '
2.054964416666667,Async Serial,F
2.055224416666667,Async Serial,\r
2.055484458333333,Async Serial,1
2.055744500000000,Async Serial,4
2.056004541666667,Async Serial,:
2.056264541666667,Async Serial,F
2.056524583333333,Async Serial,F
2.056784625000000,Async Serial,' '
2.057044625000000,Async Serial,F
2.057304666666667,Async Serial,' '
2.057564708333333,Async Serial,' '
2.057824750000000,Async Serial,1
2.058084750000000,Async Serial,5
2.058344791666667,Async Serial,:
2.058604833333333,Async Serial,0
2.058864833333333,Async Serial,A
2.059124875000000,Async Serial,' '
2.059384916666667,Async Serial,F
2.059644958333333,Async Serial,' '
2.059904958333334,Async Serial,' '
2.060165000000000,Async Serial,1
2.060425041666667,Async Serial,6
2.060685041666667,Async Serial,:
2.060945083333333,Async Serial,F
2.061205125000000,Async Serial,F
2.061465166666667,Async Serial,' '
2.061725166666667,Async Serial,F
2.061985208333333,Async Serial,' '
2.062245250000000,Async Serial,' '
2.062505250000000,Async Serial,1
2.062765291666667,Async Serial,7
2.063025333333333,Async Serial,:
2.063285375000000,Async Serial,9
2.063545375000000,Async Serial,2
2.063805416666667,Async Serial,' '
2.064065458333333,Async Serial,F
2.064325458333333,Async Serial,\r
2.064585500000000,Async Serial,1
2.064845541666667,Async Serial,8
2.065105583333333,Async Serial,:
2.065365583333334,Async Serial,0
2.065625625000000,Async Serial,0
2.065885666666667,Async Serial,' '
2.066145666666667,Async Serial,F
2.066405708333333,Async Serial,' '
2.066665750000000,Async Serial,' '
2.066925791666667,Async Serial,1
2.067185791666667,Async Serial,9
2.067445833333333,Async Serial,:
2.067705875000000,Async Serial,2
2.067965875000000,Async Serial,8
2.068225916666667,Async Serial,' '
2.068485958333333,Async Serial,F
2.068746000000000,Async Serial,' '
2.069006000000000,Async Serial,' '
2.069266041666667,Async Serial,1
2.069526083333333,Async Serial,A
2.069786083333333,Async Serial,:
2.070046125000000,Async Serial,F
2.070306166666667,Async Serial,F
