Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 0, 0, 0, 0, 0, 0
2.019237208333334, 0, 1, 0, 0, 0, 0, 0, 0
2.019263208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.019289208333333, 0, 1, 0, 0, 0, 0, 0, 0
2.019419208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.019445208333333, 0, 1, 0, 0, 0, 0, 0, 0
2.019471208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.019497208333334, 0, 1, 0, 0, 0, 0, 0, 0
2.019541416666667, 0, 0, 0, 0, 0, 0, 0, 0
2.019567416666667, 0, 1, 0, 0, 0, 0, 0, 0
2.019575208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.019593416666667, 1, 0, 0, 0, 0, 0, 0, 0
2.019601250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019627250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.019653250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019679250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.019705250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019723416666667, 0, 1, 0, 0, 0, 0, 0, 0
2.019731250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.019749416666667, 1, 0, 0, 0, 0, 0, 0, 0
2.019757250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019775416666667, 0, 1, 0, 0, 0, 0, 0, 0
2.019783250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.019801416666667, 1, 0, 0, 0, 0, 0, 0, 0
2.019809250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019861250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.019879416666667, 1, 1, 0, 0, 0, 0, 0, 0
2.019879500000000, 1, 1, 1, 0, 0, 0, 0, 0
2.019880208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.019887250000000, 0, 1, 0, 0, 0, 0, 0, 0
2.019905458333334, 0, 0, 0, 0, 0, 0, 0, 0
2.019931458333334, 0, 1, 0, 0, 0, 0, 0, 0
2.019939250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.019957458333333, 1, 0, 0, 0, 0, 0, 0, 0
2.019965250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.019983458333333, 0, 1, 0, 0, 0, 0, 0, 0
2.019991250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.020009458333333, 1, 0, 0, 0, 0, 0, 0, 0
2.020017250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.020035458333334, 0, 1, 1, 0, 0, 0, 0, 0
2.020035500000000, 0, 1, 0, 0, 0, 0, 0, 0
2.020043250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.020061458333334, 1, 0, 0, 0, 0, 0, 0, 0
2.020069250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.020087458333333, 0, 1, 0, 0, 0, 0, 0, 0
2.020095250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.020113458333333, 1, 0, 0, 0, 0, 0, 0, 0
2.020147250000000, 0, 0, 0, 0, 0, 0, 0, 0
2.020165458333333, 0, 1, 0, 0, 0, 0, 0, 0
2.020191458333334, 0, 0, 0, 0, 0, 0, 0, 0
2.020243458333333, 0, 1, 0, 0, 0, 0, 0, 0
2.020251250000000, 1, 1, 1, 0, 0, 0, 0, 0
2.020251291666667, 1, 1, 0, 0, 0, 0, 0, 0
2.020269500000000, 1, 0, 0, 0, 0, 0, 0, 0
2.020295500000000, 1, 1, 0, 0, 0, 0, 0, 0
2.020321500000000, 1, 0, 0, 0, 0, 0, 0, 0
2.020347500000000, 1, 1, 0, 0, 0, 0, 0, 0
2.020373500000000, 1, 0, 0, 0, 0, 0, 0, 0
2.020399500000000, 1, 1, 1, 0, 0, 0, 0, 0
2.020399541666667, 1, 1, 0, 0, 0, 0, 0, 0
2.020451500000000, 1, 0, 0, 0, 0, 0, 0, 0
2.020555500000000, 1, 1, 0, 0, 0, 0, 0, 0
2.023779875000000, 1, 0, 0, 0, 0, 0, 0, 0
2.023805875000000, 1, 1, 0, 0, 0, 0, 0, 0
2.023831875000000, 1, 0, 0, 0, 0, 0, 0, 0
2.023857875000000, 1, 1, 0, 0, 0, 0, 0, 0
2.023883875000000, 1, 0, 0, 0, 0, 0, 0, 0
2.023961916666667, 1, 1, 0, 0, 0, 0, 0, 0
2.023987916666667, 1, 0, 0, 0, 0, 0, 0, 0
2.024013916666667, 1, 1, 0, 0, 0, 0, 0, 0
2.024039916666667, 1, 0, 0, 0, 0, 0, 0, 0
2.024117916666667, 1, 1, 0, 0, 0, 0, 0, 0
2.024169916666667, 1, 0, 0, 0, 0, 0, 0, 0
2.024221916666667, 1, 1, 0, 0, 0, 0, 0, 0
2.024247916666667, 1, 0, 0, 0, 0, 0, 0, 0
2.024273958333334, 1, 1, 0, 0, 0, 0, 0, 0
2.024299958333334, 1, 0, 0, 0, 0, 0, 0, 0
2.024325958333333, 1, 1, 0, 0, 0, 0, 0, 0
2.024351958333333, 1, 0, 0, 0, 0, 0, 0, 0
2.024377958333333, 1, 1, 1, 0, 0, 0, 0, 0
2.024378000000000, 1, 1, 0, 0, 0, 0, 0, 0
2.024429958333334, 1, 0, 0, 0, 0, 0, 0, 0
2.024481958333333, 1, 1, 0, 0, 0, 0, 0, 0
2.024507958333333, 1, 0, 0, 0, 0, 0, 0, 0
2.024533958333333, 1, 1, 0, 0, 0, 0, 0, 0
2.024559958333334, 1, 0, 0, 0, 0, 0, 0, 0
2.024585958333334, 1, 1, 0, 0, 0, 0, 0, 0
2.024638000000000, 1, 0, 0, 0, 0, 0, 0, 0
2.024690000000000, 1, 1, 0, 0, 0, 0, 0, 0
2.024742000000000, 1, 0, 0, 0, 0, 0, 0, 0
2.024794000000000, 1, 1, 1, 0, 0, 0, 0, 0
2.024794041666667, 1, 1, 0, 0, 0, 0, 0, 0
2.024820000000000, 1, 0, 0, 0, 0, 0, 0, 0
2.024872000000000, 1, 1, 0, 0, 0, 0, 0, 0
2.024898000000000, 1, 0, 0, 0, 0, 0, 0, 0
2.024950000000000, 1, 1, 0, 0, 0, 0, 0, 0
2.025002041666667, 1, 0, 0, 0, 0, 0, 0, 0
2.025054041666667, 1, 1, 0, 0, 0, 0, 0, 0
2.025080041666667, 1, 0, 0, 0, 0, 0, 0, 0
2.025106041666667, 1, 1, 1, 0, 0, 0, 0, 0
2.025106083333334, 1, 1, 0, 0, 0, 0, 0, 0
2.025184041666667, 1, 0, 0, 0, 0, 0, 0, 0
2.025210041666667, 1, 1, 0, 0, 0, 0, 0, 0
2.025262041666667, 1, 0, 0, 0, 0, 0, 0, 0
2.025314041666667, 1, 1, 0, 0, 0, 0, 0, 0
2.025340041666667, 1, 0, 0, 0, 0, 0, 0, 0
2.025496083333334, 1, 1, 1, 0, 0, 0, 0, 0
2.025496125000000, 1, 1, 0, 0, 0, 0, 0, 0
2.025522083333334, 1, 0, 0, 0, 0, 0, 0, 0
2.025574083333333, 1, 1, 0, 0, 0, 0, 0, 0
2.025600083333333, 1, 0, 0, 0, 0, 0, 0, 0
2.025652083333334, 1, 1, 0, 0, 0, 0, 0, 0
2.025704083333333, 1, 0, 0, 0, 0, 0, 0, 0
2.025730125000000, 1, 1, 0, 0, 0, 0, 0, 0
2.025808125000000, 1, 0, 0, 0, 0, 0, 0, 0
2.025834125000000, 1, 1, 0, 0, 0, 0, 0, 0
2.025860125000000, 1, 0, 0, 0, 0, 0, 0, 0
2.025886125000000, 1, 1, 1, 0, 0, 0, 0, 0
2.025886166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.025912125000000, 1, 0, 0, 0, 0, 0, 0, 0
2.025990125000000, 1, 1, 0, 0, 0, 0, 0, 0
2.026042125000000, 1, 0, 0, 0, 0, 0, 0, 0
2.026094166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.026120166666667, 1, 0, 0, 0, 0, 0, 0, 0
2.026172166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.026250166666667, 1, 0, 0, 0, 0, 0, 0, 0
2.026276166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.026302166666667, 1, 0, 0, 0, 0, 0, 0, 0
2.026354166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.026380166666667, 1, 0, 0, 0, 0, 0, 0, 0
2.026406166666667, 1, 1, 0, 0, 0, 0, 0, 0
2.026432166666667, 1, 0, 0, 0, 0, 0, 0, 0
2.026458208333334, 1, 1, 0, 0, 0, 0, 0, 0
2.026484208333334, 1, 0, 0, 0, 0, 0, 0, 0
2.026510208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.026562208333333, 1, 0, 0, 0, 0, 0, 0, 0
2.026614208333334, 1, 1, 1, 0, 0, 0, 0, 0
2.026614250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.026640208333333, 1, 0, 0, 0, 0, 0, 0, 0
2.026666208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.026692208333333, 1, 0, 0, 0, 0, 0, 0, 0
2.026718208333333, 1, 1, 0, 0, 0, 0, 0, 0
2.026770208333334, 1, 0, 0, 0, 0, 0, 0, 0
2.026874250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.026900250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.026926250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.026952250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.026978250000000, 1, 1, 1, 0, 0, 0, 0, 0
2.026978291666667, 1, 1, 0, 0, 0, 0, 0, 0
2.027030250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.027134250000000, 1, 1, 0, 0, 0, 0, 0, 0
2.027160250000000, 1, 0, 0, 0, 0, 0, 0, 0
2.027212291666667, 1, 1, 0, 0, 0, 0, 0, 0
2.027342291666667, 1, 0, 0, 0, 0, 0, 0, 0
2.027394291666667, 1, 1, 0, 0, 0, 0, 0, 0
