Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 0, 0, 0, 0, 0, 0
1.498657416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.498683416666667, 1, 1, 0, 0, 0, 0, 0, 0
1.498709416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.498839416666667, 1, 1, 0, 0, 0, 0, 0, 0
1.498865416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.498891416666667, 1, 1, 0, 0, 0, 0, 0, 0
1.498917416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.498995416666667, 1, 1, 0, 0, 0, 0, 0, 0
1.499021416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.499047416666667, 1, 1, 0, 0, 0, 0, 0, 0
1.499073416666667, 0, 1, 0, 0, 0, 0, 0, 0
1.499099458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499125458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499151458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499177458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499203458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499229458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499281458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499307458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499359458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499385458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499411458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499437458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499463458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499489458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499515458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.499567458333333, 0, 1, 0, 0, 0, 0, 0, 0
1.499671458333333, 1, 1, 0, 0, 0, 0, 0, 0
1.571275541666667, 1, 0, 0, 0, 0, 0, 0, 0
1.571301541666667, 1, 1, 0, 0, 0, 0, 0, 0
